target_version,model,classifier_model,regressor_model,fold,mse,rmse,mae,r2,band_accuracy,band_macro_f1,classifier_best_params_json
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,7,1.754470952062374e+16,132456443.86221358,61978184.832427315,0.530520362894477,0.4667630057803468,0.4642768389918396,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,8,1.0755307045808238e+16,103707796.45623678,56010702.443067975,0.6769876461396518,0.48625180897250364,0.4855888366857738,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,9,1.502853073777616e+16,122590908.05510889,58695120.91809499,0.5947241829468827,0.4630969609261939,0.461050441457955,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,0,1.2458111076570462e+16,111615908.70736332,58324016.793832414,0.4093933223586578,0.4884393063583815,0.4842023802817789,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,1,1.9502059010666524e+16,139649772.68390566,61922433.892611995,0.44553656329235236,0.4754335260115607,0.4694856445903296,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,2,1.3040719435931422e+16,114195969.43820487,59821999.741329476,0.628629727136151,0.4508670520231214,0.4464711026998316,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,3,2.065626243167401e+16,143722866.76682317,61339926.620890535,0.5440960622602892,0.49277456647398843,0.49137223812517605,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,4,9479028444259348.0,97360302.19889084,52901428.42114117,0.7069236217736155,0.46098265895953755,0.45551919210320485,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,5,1.3115295121945676e+16,114522028.98109025,57554665.10458815,0.6821847372130903,0.4624277456647399,0.44871712879464776,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,6,1.2067734981847066e+16,109853242.92822249,60629701.18009958,0.5579679720604287,0.47832369942196534,0.46903491333904296,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,7,1.427025917228827e+16,119458190.05948596,60397710.353007585,0.6181415206827843,0.4523121387283237,0.45171457959330186,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,8,1.2510373098690088e+16,111849779.1624556,60300612.58746382,0.6242780382681868,0.4645441389290883,0.4610907010517341,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,9,1.5299696564687234e+16,123691942.19789433,59177247.68980644,0.58741162831491,0.4573082489146165,0.4534022752925531,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.8}"
