cenário,modelo,mean_rmse,mean_mae,mean_r2,mean_band_macro_f1,delta_rmse_vs_global,delta_mae_vs_global,delta_r2_vs_global
Melhor híbrido,Gradient Boosting Classifier + Gradient Boosting Regressor,117844363.37786117,58894270.87855961,0.5863259501762516,0.469628456356664,6179461.265206575,3736758.0785596147,-0.04384921714590728
Melhor global TMDB estendido,XGBoost Regressor,111664902.1126546,55157512.8,0.6301751673221588,,0.0,0.0,0.0
