target_version,model,classifier_model,regressor_model,mean_mse,std_mse,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2,mean_band_macro_f1,std_band_macro_f1
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,1.405335514111659e+16,3214478110597666.5,117844363.37786117,13583534.198236953,58894270.87855961,2524208.4088185527,0.5863259501762516,0.0921454726168129,0.469628456356664,0.019264074535473717
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,1.4112473058294966e+16,3522889746363248.0,118010938.64660823,14371709.016189987,58613055.44559187,2769152.5773720476,0.5843593061479911,0.09732118611915085,0.46830247486057724,0.014285887862699048
Sem transformação,Random Forest Classifier + Random Forest Regressor,Random Forest Classifier,Random Forest Regressor,1.495457493166879e+16,3040029980915424.0,121715474.89601965,12468542.75122434,61222611.124954805,2189771.8152347687,0.5533418714107856,0.12543362779960046,0.4441913689405294,0.014684273343702288
