faixa_receita,quantidade_filmes,receita_minima,receita_maxima,mae_medio,residuo_medio,mediana_erro_absoluto,percentual_subestimados,percentual_superestimados,rmse
Muito baixa receita,1384,1,7086000,22977951.073620982,-22974100.406523485,17134611.07534626,0.5057803468208093,99.4942196531792,36922705.07762311
Baixa receita,1383,7096000,22441323,28418808.620700885,-27661229.79860745,21434609.685687818,8.966015907447577,91.03398409255242,44210212.248759314
Média receita,1384,22468044,52800000,27953759.516721543,-21427839.151680715,17371976.95120671,28.10693641618497,71.89306358381504,46045334.09702333
Alta receita,1383,52900000,134038006,39642217.46242942,-1604383.5485679721,28948256.529743284,60.73752711496746,39.26247288503254,57586588.83819754
Muito alta receita,1384,134100000,2923706026,151084767.49164358,78685412.90768456,107449869.59370211,72.32658959537572,27.673410404624278,225928573.0433115
