true_band,Muito baixa receita,Baixa receita,Média receita,Alta receita,Muito alta receita
Muito baixa receita,0.6502890173410405,0.19219653179190752,0.09754335260115607,0.05057803468208093,0.00939306358381503
Baixa receita,0.29067245119305857,0.32827187274041936,0.20896601590744757,0.15039768618944324,0.021691973969631236
Média receita,0.1351156069364162,0.24277456647398843,0.2586705202312139,0.305635838150289,0.057803468208092484
Alta receita,0.05061460592913955,0.10773680404916848,0.19884309472161968,0.4511930585683297,0.19161243673174258
Muito alta receita,0.012283236994219654,0.036127167630057806,0.0657514450867052,0.20303468208092484,0.6828034682080925
