faixa_receita,quantidade_filmes,receita_minima,receita_maxima,mae_medio,residuo_medio,mediana_erro_absoluto,percentual_subestimados,percentual_superestimados,rmse
Muito baixa receita,1384,1,7086000,22421201.195052836,-22001744.599609375,14594560.5,10.621387283236993,89.378612716763,40670009.78281219
Baixa receita,1383,7096000,22441323,28533961.50281318,-26707151.587570045,20449731.0,12.65365148228489,87.34634851771511,44258375.0233514
Média receita,1384,22468044,52800000,30247862.638999276,-21831535.87545159,18457155.0,31.502890173410403,68.4971098265896,48591669.457670204
Alta receita,1383,52900000,134038006,41330005.484092556,-2839626.85285611,31428232.0,58.27910339840926,41.720896601590745,60703571.0691567
Muito alta receita,1384,134100000,2923706026,153224792.10323337,71023164.01797326,106745050.0,70.52023121387283,29.47976878612717,231701498.37903598
