faixa_receita,quantidade_filmes,receita_minima,receita_maxima,mae_medio,residuo_medio,mediana_erro_absoluto,percentual_subestimados,percentual_superestimados,rmse
Muito baixa receita,1384,1,7086000,10802192.758182375,-10327611.568886206,5114290.709881786,14.017341040462428,85.98265895953757,20943064.69302742
Baixa receita,1383,7096000,22441323,15032777.554126615,-9862831.70873112,8263593.307256339,38.97324656543745,61.02675343456254,35088631.18685913
Média receita,1384,22468044,52800000,22733983.364606157,795448.7483623165,17930659.75351421,63.4393063583815,36.5606936416185,33584973.83948866
Alta receita,1383,52900000,134038006,47084563.552979395,27230305.45880758,44044713.7609903,79.03109182935647,20.96890817064353,57615253.900683895
Muito alta receita,1384,134100000,2923706026,182689436.53398526,134148233.39144167,131765591.36010946,82.51445086705202,17.485549132947977,264255787.3431838
