faixa_receita,quantidade_filmes,receita_minima,receita_maxima,mae_medio,residuo_medio,mediana_erro_absoluto,percentual_subestimados,percentual_superestimados,rmse
Muito baixa receita,1384,1,7086000,26499558.371680815,-26227026.382473808,19692646.0,7.442196531791907,92.55780346820809,39452008.911285296
Baixa receita,1383,7096000,22441323,32397871.440121114,-31136557.175930947,24579566.0,11.135213304410701,88.8647866955893,52080448.86933094
Média receita,1384,22468044,52800000,30999099.523663294,-23510201.766799133,20599023.0,28.395953757225435,71.60404624277457,49589229.11229466
Alta receita,1383,52900000,134038006,41325660.92706074,-2599886.665130152,30722843.0,59.00216919739696,40.99783080260303,62215471.10369101
Muito alta receita,1384,134100000,2923706026,163444839.15245664,83541401.46459538,112526957.0,71.7485549132948,28.2514450867052,242820637.3947509
