id_tmdb,title,original_language,adult,video,genres,status,runtime,belongs_to_collection,budget,revenue
668489,Havoc,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",Released,107,,90000000,0
1011477,Karate Kid: Legends,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",Released,94,"{'id': 8580, 'name': 'The Karate Kid Collection', 'poster_path': '/7tuwH4tZZy4BHe7mivXmmSYg3kx.jpg', 'backdrop_path': '/wVG4aeLvlDmjAA9voP87u2qdEWv.jpg'}",45000000,4700000
1480799,The Great Escape,pt,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Released,90,,200000,0
1094473,"Bambi, l'histoire d'une vie dans les bois",fr,False,False,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 99, 'name': 'Documentary'}]",Released,77,,0,1419154
1397832,La viuda negra,es,False,False,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",Released,0,,0,0
710258,Rust,en,False,False,"[{'id': 37, 'name': 'Western'}]",Released,0,,0,0
762509,Mufasa: The Lion King,en,False,False,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",Released,118,"{'id': 762512, 'name': 'The Lion King (Reboot) Collection', 'poster_path': '/dGpIRn4Nqi63JO1RlKxjcPbQSAw.jpg', 'backdrop_path': '/1KeXF239BkqLChcAcF8gKl1stZz.jpg'}",200000000,721046090
1417059,Mountainhead,en,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",Released,109,,0,0
1225915,ज्वेल थीफ़ - The Heist Begins,hi,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",Released,118,,0,0
20760,Lilo & Stitch 2: Stitch Has a Glitch,en,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",Released,68,"{'id': 97461, 'name': 'Lilo & Stitch Collection', 'poster_path': '/bstyyXaLinnYwoyvo5HaDceJN07.jpg', 'backdrop_path': '/2bQIDuinsMUXjcBZq8hbyPxjhvz.jpg'}",0,0
939243,Sonic the Hedgehog 3,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Released,110,"{'id': 720879, 'name': 'Sonic the Hedgehog Collection', 'poster_path': '/1qtAVIWnx4vxmFEnZ3fDDbtMt8o.jpg', 'backdrop_path': '/ggDVF2DhqIQjJI0zUqsWMS2WTcF.jpg'}",122000000,486018457
1165642,이 별에 필요한,ko,False,False,"[{'id': 16, 'name': 'Animation'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",Released,96,,0,0
575264,Mission: Impossible - Dead Reckoning Part One,en,False,False,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",Released,164,"{'id': 87359, 'name': 'Mission: Impossible Collection', 'poster_path': '/geEjCGfdmRAA1skBPwojcdvnZ8A.jpg', 'backdrop_path': '/mroWh717g0Ah2c0rrPGW6f3EWMM.jpg'}",291000000,571125435
1092073,The Haunting at Saint Joseph's,en,False,False,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",Released,100,,0,0
715287,새엄마의 욕망,ko,False,False,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Released,78,,0,0
