faixa_receita,quantidade_filmes,receita_minima,receita_maxima,mae_medio,residuo_medio,mediana_erro_absoluto,percentual_subestimados,percentual_superestimados,rmse
Muito baixa receita,1384,1,7086000,13531838.77670576,-12489958.403485581,2456151.965021761,27.3121387283237,72.6878612716763,40902025.88796824
Baixa receita,1383,7096000,22441323,24801268.705748882,-17540003.213381015,10980906.702987932,44.10701373825018,55.89298626174982,50952063.257159375
Média receita,1384,22468044,52800000,39305165.97669913,-18744114.498731803,27121709.44653785,50.433526011560694,49.566473988439306,66562511.824779354
Alta receita,1383,52900000,134038006,59957156.62883328,-11780810.427492332,37137957.107856676,57.48373101952278,42.51626898047722,88876715.156448
Muito alta receita,1384,134100000,2923706026,156854286.0114392,46474311.50529865,117077807.55412427,60.40462427745664,39.59537572254335,231639811.00094074
