target_version,model,mean_mse,std_mse,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
Sem transformação,XGBoost Regressor,1.267154804539392e+16,3588252999412297.5,111664902.1126546,14999914.131798277,55157512.8,2522279.2523516766,0.6301751673221588,0.0777137907299656
Sem transformação,Gradient Boosting Regressor,1.2906742423338796e+16,3608051014419427.5,112706283.81567442,15056781.85327646,55698875.03854177,2312033.03607884,0.6229881061495983,0.08254147374280617
Sem transformação,Random Forest Regressor,1.3145700284297962e+16,3501799960068592.0,113780171.43683091,14898652.88851938,55222038.837461755,2318356.153205595,0.6153213963360827,0.08345698915575095
Sem transformação,Linear Regression,1.4891216603260684e+16,3719474207751455.5,121189934.22102241,15063437.956594115,63858665.968120135,2141570.53326237,0.5686427824274367,0.05978403351104663
Sem transformação,KNN Regressor,1.8512536736668076e+16,3526916839979022.5,135472473.89333978,13322727.193552682,66925392.44684114,3173239.571913505,0.4603820858000834,0.05582425004424468
Sem transformação,Decision Tree Regressor,1.917212779522452e+16,4131785285733614.5,137734235.78844896,14959504.113753462,64809296.26819785,2611367.2588192956,0.4087864575738582,0.2580962515737611
Sem transformação,Dummy Regressor,3.4545088009087576e+16,6786682606584334.0,184991285.25603324,18953521.76036336,104666293.32840237,3147359.298677788,-0.0003989198111052472,0.0008728641919924366
Sem transformação,SVR,3.86179238477222e+16,7095020798050207.0,195708394.96434563,18742346.23643868,86554541.07491645,3112906.2907640454,-0.12122574237925274,0.01776478817684827
