target_version,model,mean_mse_baseline,std_mse_baseline,mean_rmse_baseline,std_rmse_baseline,mean_mae_baseline,std_mae_baseline,mean_r2_baseline,std_r2_baseline,mean_mse_tmdb_extended,std_mse_tmdb_extended,mean_rmse_tmdb_extended,std_rmse_tmdb_extended,mean_mae_tmdb_extended,std_mae_tmdb_extended,mean_r2_tmdb_extended,std_r2_tmdb_extended,delta_rmse,delta_mae,delta_r2
Sem transformação,XGBoost Regressor,1.3915235229158604e+16,3098413514139379.5,117321481.15079184,12948843.352164216,58939848.4,2493276.234980758,0.5940431952476501,0.059519197505451,1.267154804539392e+16,3588252999412297.5,111664902.1126546,14999914.131798277,55157512.8,2522279.2523516766,0.6301751673221588,0.0777137907299656,-5656579.038137242,-3782335.6000000015,0.03613197207450869
Sem transformação,Gradient Boosting Regressor,1.4584532767766116e+16,3156142531970869.0,120147844.33990625,12868059.865840783,59192082.56831714,2667063.316381322,0.5708361283472451,0.0856397145466735,1.2906742423338796e+16,3608051014419427.5,112706283.81567442,15056781.85327646,55698875.03854177,2312033.03607884,0.6229881061495983,0.08254147374280617,-7441560.524231821,-3493207.529775366,0.052151977802353255
Sem transformação,Random Forest Regressor,1.4376617272072814e+16,2997360781041011.0,119314796.95572828,12498733.246308835,59529760.63801502,2332628.936624152,0.578880517341549,0.0678084464992539,1.3145700284297962e+16,3501799960068592.0,113780171.43683091,14898652.88851938,55222038.837461755,2318356.153205595,0.6153213963360827,0.08345698915575095,-5534625.5188973695,-4307721.800553262,0.03644087899453374
Sem transformação,Linear Regression,1.5119920444979274e+16,3619391897645683.0,122182097.483022,14585209.388988797,63626438.29380234,2559481.754909847,0.5618233965220543,0.0535908315388893,1.4891216603260684e+16,3719474207751455.5,121189934.22102241,15063437.956594115,63858665.968120135,2141570.53326237,0.5686427824274367,0.05978403351104663,-992163.2619995922,232227.67431779206,0.006819385905382447
Sem transformação,KNN Regressor,1.7299852151346708e+16,3587695357532671.5,130871134.40875812,13848318.386138242,66957426.325524986,3604245.354276736,0.4966224963752749,0.0566883859840839,1.8512536736668076e+16,3526916839979022.5,135472473.89333978,13322727.193552682,66925392.44684114,3173239.571913505,0.4603820858000834,0.05582425004424468,4601339.484581664,-32033.87868384272,-0.036240410575191506
Sem transformação,Decision Tree Regressor,1.71447374649739e+16,3191171813104448.5,130441547.60840282,12006485.4001995,64027637.74594532,1937334.9256489691,0.4935885987215366,0.0969035415282247,1.917212779522452e+16,4131785285733614.5,137734235.78844896,14959504.113753462,64809296.26819785,2611367.2588192956,0.4087864575738582,0.2580962515737611,7292688.180046141,781658.5222525299,-0.08480214114767842
Sem transformação,Dummy Regressor,3.4545088009087576e+16,6786682606584334.0,184991285.25603324,18953521.76036336,104666293.32840236,3147359.298677788,-0.0003989198111052,0.0008728641919924,3.4545088009087576e+16,6786682606584334.0,184991285.25603324,18953521.76036336,104666293.32840237,3147359.298677788,-0.0003989198111052472,0.0008728641919924366,0.0,1.4901161193847656e-08,-4.721700461174372e-17
Sem transformação,SVR,3.861809571804094e+16,7095096242500078.0,195708823.1917777,18742472.35352635,86554917.73170665,3112666.884550022,-0.1212305464850947,0.0177624537016965,3.86179238477222e+16,7095020798050207.0,195708394.96434563,18742346.23643868,86554541.07491645,3112906.2907640454,-0.12122574237925274,0.01776478817684827,-428.2274320721626,-376.6567901968956,4.80410584195734e-06
