cenário,modelo,mean_rmse,mean_mae,mean_r2,mean_band_macro_f1,delta_rmse_vs_global,delta_mae_vs_global,delta_r2_vs_global,delta_rmse_vs_oracle,delta_mae_vs_oracle,delta_r2_vs_oracle
Melhor soft routing,Gradient Boosting Classifier + Gradient Boosting Regressor,108623039.02044001,54021034.40609728,0.6501813533568677,0.469628456356664,-3041863.0922145844,-1136478.393902719,0.02000618603470883,11768513.575866938,20662919.285620473,-0.0695332553079473
Melhor global TMDB estendido,XGBoost Regressor,111664902.1126546,55157512.8,0.6301751673221588,,0.0,0.0,0.0,14810376.668081522,21799397.679523192,-0.08953944134265612
Melhor oracle por faixa,Gradient Boosting Regressor,96854525.44457307,33358115.120476805,0.719714608664815,,-14810376.668081522,-21799397.679523192,0.08953944134265612,0.0,0.0,0.0
