target_version,model,classifier_model,regressor_model,fold,mse,rmse,mae,r2,band_macro_f1,classifier_best_params_json
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,8,9283944588417408.0,96353228.2200104,52497431.00242925,0.7211768309503996,0.4855888366857738,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,Gradient Boosting Classifier + Gradient Boosting Regressor,Gradient Boosting Classifier,Gradient Boosting Regressor,9,1.3310098908806234e+16,115369401.9608589,53855920.75281703,0.6410652974368893,0.461050441457955,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,0,1.0385419938842234e+16,101908880.56907618,53093687.774654366,0.5076542239597466,0.4842023802817789,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,1,1.7891365364674516e+16,133758608.5628679,56373136.11925886,0.4913302271281269,0.4694856445903296,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,2,1.1317325724763128e+16,106382920.26807277,55739624.868746884,0.6777080924757928,0.4551946423165757,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,3,1.9458052966500668e+16,139492125.1056871,57167507.707479574,0.5705417184004764,0.49137223812517605,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,4,8191797757317570.0,90508550.74144967,48932120.7224409,0.7467227330316084,0.45551919210320485,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 1.0}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,5,1.1780683202208392e+16,108538855.7255345,50539780.93731335,0.7145256059503942,0.4701699714223918,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,6,9818610579013282.0,99088902.4008909,54301063.85805479,0.6403517020949796,0.46903491333904296,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,7,1.2006801498034162e+16,109575551.55249807,54239961.891700216,0.6787094819968996,0.45171457959330186,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,8,9908573314376270.0,99541816.91317609,53450226.05852386,0.7024174599532325,0.48292891154141737,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}"
Sem transformação,XGBoost Classifier + XGBoost Regressor,XGBoost Classifier,XGBoost Regressor,9,1.4095637146246056e+16,118725048.52071469,54563280.153750084,0.6198816131127357,0.4534022752925531,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.8}"
