target_version,model,mean_mse,std_mse,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
Sem transformação,XGBoost (Squared Error),1.267154804539392e+16,3588252999412297.5,111664902.1126546,14999914.131798277,55157512.8,2522279.2523516766,0.6301751673221588,0.0777137907299656
Sem transformação,XGBoost (MAE),1.324669699442606e+16,4136764356038206.5,113819614.3971658,18005936.4564563,51579882.8,2371044.112982051,0.6204541325569153,0.06855004930987921
Sem transformação,XGBoost (Pseudo-Huber),4.432864866079867e+16,7266214755364214.0,209861915.01207727,17845799.015838448,98929566.4,2966444.3915695585,-0.29246826171875,0.05118702079407713
