target_version,model,mean_mse,std_mse,mean_rmse,std_rmse,mean_mae,std_mae,mean_r2,std_r2
Sem transformação,Gradient Boosting Regressor,9654471706094724.0,3338325963709612.5,96854525.44457309,17437909.11909605,33358115.120476805,2557028.5308932387,0.719714608664815,0.08448945825646056
Sem transformação,XGBoost Regressor,9763823656974252.0,3557165307007454.0,97440180.20174411,17295951.331835017,33564875.150109306,2406892.80285206,0.7164679487124236,0.08405400997978296
Sem transformação,Random Forest Regressor,9922774063623444.0,3465404215386191.0,98194275.91803023,17659062.531968966,32945499.116641432,2634546.1485806652,0.7073398288876345,0.1100825836649707
