target_version,model,mean_mse_global,std_mse_global,mean_rmse_global,std_rmse_global,mean_mae_global,std_mae_global,mean_r2_global,std_r2_global,mean_mse_oracle,std_mse_oracle,mean_rmse_oracle,std_rmse_oracle,mean_mae_oracle,std_mae_oracle,mean_r2_oracle,std_r2_oracle,delta_rmse,delta_mae,delta_r2
Sem transformação,XGBoost Regressor,1.267154804539392e+16,3588252999412297.0,111664902.1126546,14999914.131798277,55157512.8,2522279.2523516766,0.6301751673221588,0.0777137907299656,9763823656974252.0,3557165307007454.0,97440180.20174411,17295951.331835017,33564875.150109306,2406892.80285206,0.7164679487124236,0.08405400997978296,-14224721.910910487,-21592637.64989069,0.08629278139026475
Sem transformação,Gradient Boosting Regressor,1.2906742423338796e+16,3608051014419428.0,112706283.81567442,15056781.85327646,55698875.03854177,2312033.03607884,0.6229881061495983,0.0825414737428061,9654471706094724.0,3338325963709612.5,96854525.44457309,17437909.11909605,33358115.120476805,2557028.5308932387,0.719714608664815,0.08448945825646056,-15851758.371101335,-22340759.918064967,0.09672650251521664
Sem transformação,Random Forest Regressor,1.3145700284297962e+16,3501799960068592.0,113780171.43683092,14898652.88851938,55222038.83746176,2318356.153205595,0.6153213963360827,0.0834569891557509,9922774063623444.0,3465404215386191.0,98194275.91803023,17659062.531968966,32945499.116641432,2634546.1485806652,0.7073398288876345,0.1100825836649707,-15585895.51880069,-22276539.72082033,0.09201843255155173
