faixa_receita,quantidade_filmes,receita_minima,receita_maxima,mae_medio,residuo_medio,mediana_erro_absoluto,percentual_subestimados,percentual_superestimados,rmse
Muito baixa receita,1384,1,7086000,1767150.9141454746,3758.81165944592,1685946.9444958034,45.447976878612714,54.552023121387286,2115918.027455345
Baixa receita,1383,7096000,22441323,3750624.243922297,-5112.509172810605,3543570.6182078198,47.650036153289946,52.34996384671005,4452949.340282101
Média receita,1384,22468044,52800000,7673797.568154501,61535.9999565828,7427263.137815053,48.26589595375722,51.73410404624278,9021103.530541293
Alta receita,1383,52900000,134038006,19241053.1755359,-170567.83464560885,18056388.92619084,46.85466377440347,53.14533622559653,23152836.55877011
Muito alta receita,1384,134100000,2923706026,134325561.75483474,-4735344.074662975,84050043.81707004,40.028901734104046,59.97109826589595,218215230.25519118
